hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
Resort Hotel,0,86,2017,June,26,30,0,1,1,0.0,0,BB,PRT,Corporate,TA/TO,0,0,0,A,A,1,No Deposit,,525.0,0,Transient-Party,120.0,0,0,Check-Out,2017-07-01
City Hotel,0,59,2016,February,6,6,2,2,2,0.0,0,BB,AUT,Groups,TA/TO,0,0,0,A,D,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0,Check-Out,2016-02-10
Resort Hotel,0,8,2016,January,1,2,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,62.0,1,2,Check-Out,2016-01-03
City Hotel,1,358,2016,June,27,30,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015-10-21
Resort Hotel,0,1,2016,March,12,16,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,,0,Transient,40.0,1,0,Check-Out,2016-03-17
Resort Hotel,0,113,2015,August,31,1,18,42,1,0.0,0,HB,,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient,110.5,0,3,Check-Out,2015-09-30
City Hotel,0,160,2017,July,28,15,2,1,2,0.0,0,SC,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,89.1,0,1,Check-Out,2017-07-18
Resort Hotel,0,84,2017,April,15,15,2,5,2,0.0,1,HB,NGA,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,171.0,,0,Transient,83.22,0,0,Check-Out,2017-04-22
City Hotel,1,134,2017,June,23,7,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,20.0,,0,Transient,110.0,0,0,Canceled,2017-01-24
City Hotel,0,234,2017,July,29,18,0,3,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,156.6,0,2,Check-Out,2017-07-21
Resort Hotel,0,206,2017,July,28,10,2,5,2,0.0,0,HB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,180.0,0,2,Check-Out,2017-07-17
City Hotel,1,35,2016,March,11,9,2,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,81.9,0,0,Canceled,2016-02-03
City Hotel,0,181,2017,June,22,2,0,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,153.0,0,2,Check-Out,2017-06-04
City Hotel,0,0,2016,April,16,13,0,3,2,0.0,0,SC,MAR,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,118.0,1,1,Check-Out,2016-04-16
Resort Hotel,1,106,2016,March,13,24,1,3,2,0.0,0,FB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,68.0,,0,Transient,84.0,0,0,Canceled,2016-01-22
Resort Hotel,0,153,2017,May,20,19,1,2,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,177.0,,0,Transient,43.2,0,1,Check-Out,2017-05-22
City Hotel,0,1,2016,January,5,26,0,1,1,0.0,0,BB,ESP,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,79.0,0,0,Check-Out,2016-01-27
City Hotel,1,273,2016,May,20,13,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,21.0,,0,Transient,95.0,0,0,Canceled,2015-12-18
Resort Hotel,0,185,2016,April,17,18,1,1,2,0.0,0,HB,DEU,Groups,TA/TO,0,0,0,A,A,0,No Deposit,298.0,,0,Transient-Party,85.0,0,0,Check-Out,2016-04-20
City Hotel,0,164,2016,September,37,9,2,4,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,132.0,,0,Transient,116.45,0,3,Check-Out,2016-09-15
Resort Hotel,0,189,2016,April,18,26,0,2,1,0.0,0,BB,FRA,Groups,TA/TO,0,0,0,A,A,1,No Deposit,248.0,,0,Transient-Party,30.0,0,0,Check-Out,2016-04-28
Resort Hotel,0,125,2016,May,22,22,2,4,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,,0,Transient,43.66,0,1,Check-Out,2016-05-28
City Hotel,1,286,2016,October,44,28,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,65.0,0,0,Canceled,2016-09-20
City Hotel,0,140,2015,November,47,18,0,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,29.0,,87,Transient-Party,75.0,0,0,Check-Out,2015-11-21
City Hotel,1,56,2017,May,20,17,0,1,1,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,7.0,,0,Transient,108.0,0,0,No-Show,2017-05-17
City Hotel,0,67,2017,March,9,3,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9.0,,0,Transient,151.2,0,1,Check-Out,2017-03-05
City Hotel,1,461,2016,October,42,13,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015-10-21
City Hotel,1,25,2016,May,20,14,2,1,2,1.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,152.33,0,0,Canceled,2016-05-09
City Hotel,1,19,2016,February,8,15,1,4,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,91.0,0,2,Canceled,2016-02-09
City Hotel,0,79,2017,April,17,26,0,3,3,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,171.0,0,0,Check-Out,2017-04-29
City Hotel,0,90,2017,May,20,14,2,0,2,0.0,0,BB,USA,Direct,Direct,0,0,0,A,F,0,No Deposit,14.0,,0,Transient,117.0,0,0,Check-Out,2017-05-16
City Hotel,0,49,2016,March,10,2,1,4,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,65.75,0,0,Check-Out,2016-03-07
Resort Hotel,1,25,2015,December,52,26,1,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,E,E,1,No Deposit,339.0,,0,Group,45.0,0,1,Canceled,2015-12-03
City Hotel,0,8,2017,July,28,13,1,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,158.0,0,1,Check-Out,2017-07-17
City Hotel,0,43,2017,May,19,8,1,2,2,0.0,0,SC,CN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,119.2,0,0,Check-Out,2017-05-11
City Hotel,1,11,2017,April,15,14,1,2,2,0.0,0,SC,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,138.33,0,0,Canceled,2017-04-06
City Hotel,0,88,2017,June,23,5,1,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,83.0,,0,Transient,122.4,0,0,Check-Out,2017-06-09
City Hotel,0,16,2015,September,39,25,2,3,1,0.0,0,BB,ITA,Groups,TA/TO,0,0,0,A,A,1,No Deposit,1.0,,0,Transient-Party,170.0,0,0,Check-Out,2015-09-30
Resort Hotel,1,318,2017,June,23,5,1,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242.0,,0,Transient,74.25,0,2,Canceled,2017-01-06
City Hotel,1,2,2017,April,14,7,1,2,3,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,171.0,0,1,Canceled,2017-04-05
City Hotel,1,31,2016,May,21,17,0,2,2,0.0,0,SC,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,125.1,0,0,Canceled,2016-04-22
City Hotel,1,21,2016,October,44,25,0,3,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,86.0,,0,Transient,88.0,0,0,Canceled,2016-10-04
City Hotel,0,65,2016,April,18,24,2,0,3,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient-Party,137.7,0,2,Check-Out,2016-04-26
City Hotel,0,141,2016,October,41,6,1,3,2,0.0,0,BB,AUT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,85.0,,0,Transient,80.75,0,0,Check-Out,2016-10-10
City Hotel,1,93,2017,April,14,6,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,170.0,,0,Transient,95.0,0,0,Canceled,2017-01-03
City Hotel,0,2,2016,February,6,5,0,2,1,0.0,0,BB,FRA,Corporate,Corporate,0,0,0,E,E,1,No Deposit,,183.0,0,Transient-Party,97.0,0,0,Check-Out,2016-02-07
City Hotel,1,72,2015,December,53,27,2,0,2,0.0,0,HB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient,90.0,0,0,Canceled,2015-11-11
Resort Hotel,0,8,2017,April,14,4,0,1,2,0.0,0,BB,CN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,85.0,0,0,Check-Out,2017-04-05
Resort Hotel,1,9,2016,May,21,15,1,0,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,315.0,,0,Transient-Party,70.0,0,0,Canceled,2016-05-06
Resort Hotel,0,61,2016,October,44,24,2,5,1,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,243.0,,0,Contract,41.0,0,0,Check-Out,2016-10-31
City Hotel,0,320,2016,August,34,18,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,115.0,0,1,Check-Out,2016-08-20
City Hotel,1,279,2016,October,42,12,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,98.0,,0,Transient,110.0,0,0,Canceled,2016-05-05
City Hotel,0,238,2016,October,43,22,2,3,2,0.0,0,BB,CHE,Direct,Direct,0,0,0,B,B,1,No Deposit,14.0,,0,Transient-Party,81.28,0,0,Check-Out,2016-10-27
City Hotel,0,132,2016,August,33,10,2,5,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,83.0,,0,Transient,96.56,0,1,Check-Out,2016-08-17
Resort Hotel,0,0,2017,February,6,11,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,1,0,0,A,A,0,No Deposit,241.0,,0,Transient,35.11,0,1,Check-Out,2017-02-12
City Hotel,1,177,2017,August,35,31,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,52.0,,0,Transient,95.1,0,1,Canceled,2017-07-26
Resort Hotel,1,148,2016,March,14,27,2,1,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,242.0,,0,Transient,90.0,0,1,Canceled,2016-01-06
City Hotel,1,310,2016,November,45,1,0,5,1,0.0,0,BB,ISR,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,82.45,0,0,Canceled,2015-12-31
City Hotel,0,112,2016,April,15,8,0,2,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,65.83,0,1,Check-Out,2016-04-10
City Hotel,1,461,2016,October,42,13,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015-10-21
City Hotel,1,218,2016,August,32,6,0,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,96.3,0,1,Canceled,2016-07-22
City Hotel,1,1,2017,February,7,18,0,1,1,0.0,0,BB,PRT,Complementary,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,0.0,0,0,No-Show,2017-02-18
City Hotel,0,176,2017,August,33,13,2,5,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient-Party,109.16,0,0,Check-Out,2017-08-20
Resort Hotel,1,36,2017,January,5,30,1,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,240.0,,0,Transient,48.0,0,1,Canceled,2017-01-13
City Hotel,1,26,2016,June,24,8,0,1,2,0.0,0,BB,PRT,Offline TA/TO,Corporate,0,0,0,A,A,0,No Deposit,191.0,,0,Transient-Party,120.0,0,0,Canceled,2016-06-02
Resort Hotel,1,346,2015,August,36,30,4,8,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,171.0,,0,Transient,96.3,0,0,Canceled,2015-08-14
City Hotel,0,241,2015,October,43,19,1,2,2,0.0,0,BB,USA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,60.0,0,0,Check-Out,2015-10-22
City Hotel,1,14,2017,April,16,18,0,3,3,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,,0,Transient,215.0,0,1,Canceled,2017-04-05
City Hotel,0,0,2017,April,13,1,1,1,2,0.0,1,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,,,0,Transient,115.0,0,0,Check-Out,2017-04-03
City Hotel,0,50,2015,August,35,25,0,4,3,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,D,1,No Deposit,1.0,,0,Transient-Party,84.0,0,1,Check-Out,2015-08-29
City Hotel,1,158,2016,May,22,24,0,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,37.0,,31,Transient,130.0,0,0,Canceled,2016-01-18
City Hotel,0,40,2015,October,44,31,2,1,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,28.0,,0,Transient,65.0,0,0,Check-Out,2015-11-03
City Hotel,1,104,2015,August,36,30,2,1,2,0.0,0,HB,ESP,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,90.0,0,0,Canceled,2015-07-22
City Hotel,1,281,2015,July,30,25,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.8,0,0,Canceled,2015-01-01
City Hotel,0,317,2016,September,36,1,0,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,B,1,No Deposit,9.0,,0,Contract,106.2,0,1,Check-Out,2016-09-04
Resort Hotel,0,50,2017,July,27,6,0,1,3,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,H,I,0,No Deposit,240.0,,0,Transient,260.0,1,1,Check-Out,2017-07-07
City Hotel,0,14,2016,August,33,13,1,1,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,B,B,1,No Deposit,9.0,,0,Transient-Party,138.05,0,3,Check-Out,2016-08-15
City Hotel,1,342,2015,September,39,24,2,4,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient,170.0,0,0,Canceled,2015-08-21
City Hotel,0,14,2017,February,7,18,2,3,2,0.0,1,HB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,120.36,0,3,Check-Out,2017-02-23
City Hotel,1,328,2015,September,37,10,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Contract,62.0,0,0,Canceled,2015-01-01
City Hotel,0,107,2017,May,18,5,0,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,97.02,0,1,Check-Out,2017-05-07
City Hotel,0,89,2017,August,33,16,0,3,2,2.0,0,BB,ITA,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,9.0,,0,Transient,240.0,0,1,Check-Out,2017-08-19
City Hotel,0,1,2016,July,28,4,1,1,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,139.0,0,1,Check-Out,2016-07-06
City Hotel,0,46,2016,November,45,3,1,3,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,74.8,0,1,Check-Out,2016-11-07
City Hotel,1,74,2015,September,38,18,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,6.0,,0,Transient-Party,101.5,0,0,Canceled,2015-07-06
City Hotel,1,149,2016,July,28,4,1,1,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,114.3,0,1,Canceled,2016-06-15
City Hotel,0,84,2015,December,53,31,0,3,2,0.0,0,HB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,104.0,,0,Transient,100.33,0,0,Check-Out,2016-01-03
City Hotel,0,1,2017,February,6,10,0,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,94.0,,0,Transient,65.0,0,1,Check-Out,2017-02-11
City Hotel,0,145,2017,April,15,15,2,5,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,16.0,,0,Transient,89.1,0,0,Check-Out,2017-04-22
City Hotel,0,45,2016,December,52,22,0,3,3,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,,0,Transient,127.2,0,0,Check-Out,2016-12-25
City Hotel,0,161,2017,May,19,7,2,4,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,,0,Transient,136.17,0,3,Check-Out,2017-05-13
Resort Hotel,0,191,2017,August,33,16,4,10,2,2.0,0,BB,ARG,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,526.0,,0,Transient,144.0,0,0,Check-Out,2017-08-30
Resort Hotel,0,30,2015,July,28,10,2,2,2,0.0,0,FB,PRT,Direct,Direct,0,0,0,F,F,0,No Deposit,,,0,Transient-Party,197.0,0,1,Check-Out,2015-07-14
City Hotel,1,173,2016,December,51,16,0,2,3,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,122.4,0,0,Canceled,2016-08-19
Resort Hotel,1,40,2016,June,25,16,0,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,129.0,0,0,Canceled,2016-05-10
Resort Hotel,0,14,2017,June,22,2,2,2,2,0.0,0,BB,CHE,Direct,Direct,0,0,0,F,F,0,No Deposit,250.0,,0,Transient,159.5,0,0,Check-Out,2017-06-06
City Hotel,0,70,2016,April,15,3,2,4,1,1.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,64.67,0,1,Check-Out,2016-04-09
City Hotel,1,552,2017,January,2,12,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015-10-21
Resort Hotel,1,99,2015,August,34,22,2,2,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,166.0,0,2,Canceled,2015-07-23
Resort Hotel,1,174,2015,August,33,12,2,9,2,2.0,0,BB,PRT,Online TA,TA/TO,0,1,0,G,G,0,No Deposit,240.0,,0,Transient,199.0,0,2,Canceled,2015-05-18
Resort Hotel,0,45,2015,December,52,25,2,3,2,2.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,C,C,0,No Deposit,196.0,,0,Transient,46.0,0,0,Check-Out,2015-12-30
City Hotel,0,0,2017,February,8,23,0,1,1,0.0,0,SC,CHE,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,88.2,0,0,Check-Out,2017-02-24
Resort Hotel,0,49,2016,March,10,5,2,2,1,0.0,0,HB,DEU,Groups,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient-Party,66.0,0,0,Check-Out,2016-03-09
City Hotel,0,107,2016,April,18,30,2,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,99.45,0,2,Check-Out,2016-05-05
City Hotel,1,161,2017,August,34,23,0,4,3,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,8.0,,0,Transient,282.5,0,0,Canceled,2017-03-16
City Hotel,1,330,2015,September,37,12,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.8,0,0,Canceled,2015-01-01
City Hotel,1,119,2016,June,27,28,0,1,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,85.5,0,0,Canceled,2016-04-25
Resort Hotel,1,106,2016,July,30,21,1,3,2,2.0,0,BB,ARG,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,240.0,0,0,Canceled,2016-06-13
City Hotel,1,178,2017,April,14,6,0,3,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,117.0,0,0,Canceled,2017-02-23
City Hotel,1,68,2016,March,12,15,0,1,2,0.0,0,SC,AGO,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,67.5,0,0,Canceled,2016-03-01
City Hotel,1,344,2016,June,25,16,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015-10-21
City Hotel,0,9,2015,October,44,30,0,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,111.0,,0,Transient-Party,95.0,0,0,Check-Out,2015-10-31
City Hotel,0,257,2015,July,27,1,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient,101.5,0,0,Check-Out,2015-07-03
City Hotel,1,2,2017,June,24,11,1,0,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,10.0,,0,Transient,100.0,0,0,Canceled,2017-06-09
Resort Hotel,0,74,2015,August,33,9,1,0,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,242.0,,0,Transient,134.0,1,0,Check-Out,2015-08-10
City Hotel,0,0,2017,July,27,6,0,2,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,A,D,1,No Deposit,,,0,Transient,81.0,0,0,Check-Out,2017-07-08
City Hotel,0,174,2016,July,29,13,1,4,2,0.0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,80.75,0,0,Check-Out,2016-07-18
City Hotel,0,36,2016,September,39,24,2,5,2,2.0,0,BB,FRA,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,7.0,,0,Transient,177.77,0,1,Check-Out,2016-10-01
City Hotel,1,131,2017,June,24,15,0,3,3,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9.0,,0,Transient,171.0,0,0,Canceled,2017-05-07
City Hotel,1,100,2017,April,16,22,2,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,58.0,,0,Transient,105.0,0,0,Canceled,2017-01-12
Resort Hotel,0,0,2016,February,6,1,1,1,1,0.0,0,HB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,20.0,0,Transient,46.0,0,0,Check-Out,2016-02-03
City Hotel,1,91,2016,April,15,4,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,3.0,,0,Transient,80.0,0,0,Canceled,2016-02-04
City Hotel,0,66,2016,September,36,3,0,1,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,D,1,No Deposit,9.0,,0,Transient,96.3,1,1,Check-Out,2016-09-04
City Hotel,0,6,2017,January,2,10,2,6,2,0.0,0,BB,ITA,Corporate,Corporate,0,0,0,A,A,2,No Deposit,,216.0,0,Transient,71.86,0,1,Check-Out,2017-01-18
Resort Hotel,1,238,2017,February,6,10,0,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,155.0,,0,Transient,54.0,0,0,Canceled,2016-12-15
City Hotel,0,84,2017,April,14,6,0,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,127.8,0,3,Check-Out,2017-04-09
Resort Hotel,1,30,2017,February,7,17,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,48.0,0,0,Canceled,2017-01-20
Resort Hotel,0,6,2016,March,14,30,0,1,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,E,0,No Deposit,,178.0,0,Transient-Party,50.0,0,0,Check-Out,2016-03-31
Resort Hotel,0,36,2015,November,45,7,2,6,1,0.0,0,BB,AUT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,185.0,281.0,0,Transient-Party,36.0,0,0,Check-Out,2015-11-15
City Hotel,0,158,2016,July,31,28,0,3,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,121.8,0,1,Check-Out,2016-07-31
City Hotel,0,41,2017,January,1,4,0,1,2,0.0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,88.0,0,1,Check-Out,2017-01-05
City Hotel,0,98,2016,May,19,3,0,4,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,16.0,,0,Transient-Party,95.0,0,1,Check-Out,2016-05-07
Resort Hotel,1,244,2015,September,36,2,2,5,2,0.0,0,BB,IRL,Groups,TA/TO,0,1,0,A,A,0,No Deposit,96.0,,0,Transient-Party,8.0,0,0,Canceled,2015-08-01
Resort Hotel,0,24,2017,June,23,8,0,3,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,A,A,0,No Deposit,250.0,,0,Transient,135.0,0,0,Check-Out,2017-06-11
Resort Hotel,0,43,2015,August,35,27,2,4,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,D,E,0,No Deposit,156.0,,0,Contract,79.5,0,0,Check-Out,2015-09-02
City Hotel,1,32,2016,February,6,5,1,2,1,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,72.9,0,0,Canceled,2016-01-04
City Hotel,1,144,2017,June,22,1,0,3,2,0.0,0,BB,IRL,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,120.0,0,2,Canceled,2017-05-09
Resort Hotel,0,0,2017,February,7,14,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,60.0,0,0,Check-Out,2017-02-15
